Term,Source,Definition,UF,USE,BT,NT,RT,First_Letter
seedlings,Roadside Manual,"Plants grown from cuttings, seeds, or other approved propagation methods. They are generally under 3 years old and under 600 mm (2 ft) in height. Measurement is by height, in 75mm (3inch) increments, or by age and number of times transplanted.",,,,,,s
Segmented Circle,State-Managed Airport Handbook,A system of visual indicators designed to provide traffic pattern information at airports without operating control towers.,,,,,,S
select zone analysis,Desgin Manual,"A traffic model run, where the related project trips are distributed and assigned along a populated highway network. This analysis isolates the anticipated impact on the state highway network created by the project.",,,,,,s
Serviceability,Streetwise,The ability of a section of pavement to serve traffic in its existing condition.,,,,,,S
Self-retracting lifeline,Safety Manual,"means a deceleration device which contains a wound line which may be slowly extracted from, or retracted onto, the device under slight tension during normal employee movement, and which after onset of a fall, automatically locks the drum and arrests the fall.",,,,,,S
semi-trailer,Permit Desk Guide,A truck trailer equipped with one or more axles and constructed so that the front end and a substantial part of its own weight and that of its load rests upon a truck tractor.,,,,,,s
semiarid,Highway Runoff Manual,Description of a geographical area characterized by light rainfall and having about 10 to 20 inches of annual precipitation.,,,,,,s
sensitive area (Highway Runoff),Highway Runoff Manual,"Any area designated by a federal, state, or local government as having unique or important environmental characteristics that may require additional protective measures (also see critical areas). These areas include but are not limited to: § “Critical habitat” as defined in Section 3 of the federal Endangered Species Act of 1973. § Designated “critical water resources” as defined in 33 CFR Part 330, Nationwide Permit Program. § Water bodies designated as “impaired” under the provision of Section 303d of the federal Clean Water Act enacted by Public Law 92-500. § Sole-source aquifers as defined under the federal Safe Drinking Water Act, Public Law 93-523. § Wellhead protection zones as defined under WAC 246-290, Public Water Supplies. § Areas identified in local critical area ordinances or in an approved basin plan.",,,,,sensitive area (Roadside),s
sensitive area (Roadside),Roadside Manual,"(also called critical areas) Places in the landscape that are subject to natural hazards or that support unique, fragile, or valuable natural resources. In many cases, these areas have been designated as sensitive by local jurisdictions under the state Growth Management Act (GMA) and thus may have special regulations attached to them. Each jurisdiction has its own definition of what constitutes a sensitive area and has its own set of regulations that address the restrictions associated with these areas. The Shoreline Management Act and Growth Management Act include as nonjurisdictional those wetlands created after July 1, 1990, that were unintentionally created as a result of the construction of a road, street, or highway. WSDOT has a “no net loss” policy regarding wetlands and will mitigate impacts to wetlands created after that date. These areas can be highly susceptible to disturbance. Examples of sensitive areas include: streams, wetlands, steep slopes, erosion hazard areas, coal mine hazard areas, landslide hazard areas, seismic hazard areas, and floodplains, and smaller watersheds feeding into shellfish harvest areas.",,,,,critical areas,s
sensitive area (Roadside),Roadside Manual,"(also called critical areas) Places in the landscape that are subject to natural hazards or that support unique, fragile, or valuable natural resources. In many cases, these areas have been designated as sensitive by local jurisdictions under the state Growth Management Act (GMA) and thus may have special regulations attached to them. Each jurisdiction has its own definition of what constitutes a sensitive area and has its own set of regulations that address the restrictions associated with these areas. The Shoreline Management Act and Growth Management Act include as nonjurisdictional those wetlands created after July 1, 1990, that were unintentionally created as a result of the construction of a road, street, or highway. WSDOT has a “no net loss” policy regarding wetlands and will mitigate impacts to wetlands created after that date. These areas can be highly susceptible to disturbance. Examples of sensitive areas include: streams, wetlands, steep slopes, erosion hazard areas, coal mine hazard areas, landslide hazard areas, seismic hazard areas, and floodplains, and smaller watersheds feeding into shellfish harvest areas.",,,,,sensitive area (Highway Runoff),s
SEPA Checklist,Local Agency Guidelines,See environmental checklist.,,,,,Environmental Checklist (SEPA) (Local Agency),S
separated HOV facility,Desgin Manual,"An HOV roadway that is physically separated from adjacent general-purpose lanes by a barrier or median, or is on a separate right of way",,,,,,s
Serious Accidents or Injuries,Safety Manual,"An event that results in employee being struck in a work zone, admitted to medical facility, fatality, or has likelihood of becoming a high profile incident.",,,,,,S
Serious Damage,Emergency Funding Manual,"Heavy, major, or unusual damage to a highway which severely impairs the safety or usefulness of the highway or results in road closure. Serious damage must be beyond the scope of heavy maintenance",,,,,,S
Service and Maintenance,Safety Manual,"Activities such as constructing, installing, setting-up, adjusting, inspecting, modifying, maintaining, and servicing machines or equipment. It also includes lubricating, cleaning, unjamming, and making tool changes",,,,,,S
service connection,Roadside Manual,The piping connection by means of which water is conveyed from the serving utility’s distribution main to a customer’s premises.,,,,,,s
service life (Design),Desgin Manual,The service life of a pavement marking is the time or number of traffic passages required for its retroreflectivity to decrease from its initial value to a minimum threshold value indicating that the marking needs to be refurbished or replaced.,,,,,,s
service life (Terminal Design),Terminal Design Manual,The length of time between a system’s construction or installation and its replacement or removal from service. The length of time during which a system can be operated or used economically or before breakdown.,,,,,,s
Service Stub-Out,Utilities Manual,Preinstalled service connection from a utility main at a predetermined location that allows the utility to make a service connection to the main without the need to access the main itself. They are usually associated with longitudinal utility installations within the roadway that would otherwise involve an open cut for the connection.,,,,,,S
settleable solids (SS),Roadside Manual,"Settleable solids are the materials which settle out of suspension within a defined period (typically one hour). It is reported on a volume basis (milliliter per liter, mL/L), but can also be reported on a weight basis (milligrams per liter, mg/L).",,,,,,s
Severance Damages,Local Agency Guidelines,The reduction of the market value of a remaining area because of a partial acquisition of property or property rights (damage to the remainder). See also proximity damages.,,,,,Proximity Damages,S
Shall (Bicycle Race),Bicycle Racing Guidelines,Shall is a mandatory condition. Requirements stipulated by â€œshallâ€ must be met in order to stage the bicycle race.,,,,,Shall (Geotech),S
Shall (Geotech),Geotechnical Design Manual,The associated provisions must be used. There is no acceptable alternative.,,,,,Shall (Bicycle Race),S
shape,Roadside Manual,"Contour, spatial form, or configuration of a figure. Shape is similar to form, but shape is usually considered to be twodimensional.",,,,,,s
shared-use landing,Desgin Manual,"A level (0 to 2% grade cross slope and running slope) paved area within the shared-use path, designed to provide turning and maneuvering space for wheelchair users and as a resting place for pedestrians.",,,,,,s
shared-use path,Desgin Manual,"A facility physically separated from motorized vehicular traffic within the highway right of way or on an exclusive right of way with minimal crossflow by motor vehicles. Shared-use paths are primarily used by bicyclists and pedestrians, including joggers, skaters, and pedestrians with disabilities, including those who use nonmotorized or motorized wheeled mobility devices. With appropriate design considerations, equestrians may also be accommodated by a shared-use path facility.",,,,,,s
shared roadway,Desgin Manual,"A roadway that is open to both bicycle and motor vehicle travel. This may be a new or existing roadway/highway, a street with wide curb lanes, or a road with paved shoulders.",,,,,,s
sheet,Terminal Design Manual,"Contains one scaled view of one or more models arranged within a border and title block. Basically, a sheet is a “ready-toplot” CADD file.",,,,,,s
sheet flow,Highway Runoff Manual,"Runoff that flows over the ground surface as a thin, even layer, not concentrated in a channel.",,,,,,s
Sheriff’s Certificate of Sale,Right of Way Manual,The document given to the purchaser at a sheriff’s sale under foreclosure.,,,,,,S
Sheriff’s Deed,Right of Way Manual,A deed given to the holder of the sheriff’s certificate after expiration of the redemption period. The certificate results from the foreclosure of a lien or mortgage,,,Deed,,,S
Shoreline Management,Local Agency Guidelines,See Coastal Zone Management.,,Coastal Zone Management,,,,S
short-circuiting,Highway Runoff Manual,The passage of runoff through a stormwater treatment facility in less than the design treatment time.,,,,,,s
short tunnel,Desgin Manual,"A tunnel, lid, or underpass that is shorter than 80’ in length and has a length to vertical clearance ratio of 10:1 or less.",,,,,,s
shotcrete,Highway Runoff Manual,"Concrete that is placed by means of a spray nozzle, pneumatically applied.",,,,,,s
Should (Bicycle Race),Bicycle Racing Guidelines,Should is an advisory condition. Requirements stipulated by 'should' are recommended but not mandatory.,,,,,Should (Geotech),S
Should (Geotech),Geotechnical Design Manual,"The associated provisions must be used unless strong justification is available and based on well-established regional or national practice, and if supported by widely accepted research results.",,,,,Should (Bicycle Race),S
Shoulder (Environment),Desgin Manual,"The portion of the roadway contiguous with the traveled way, primarily for accommodation of stopped vehicles, emergency use, lateral support of the traveled way, and where allowed, use by pedestrians and bicycles.",,,,,Shoulder (Standard Specs),S
Shoulder (Environment),Desgin Manual,"The portion of the roadway contiguous with the traveled way, primarily for accommodation of stopped vehicles, emergency use, lateral support of the traveled way, and where allowed, use by pedestrians and bicycles.",,,,,Shoulder (Utilities),S
Shoulder (Standard Specs),Standard Specifications,The part of the Roadway next to the Traveled Way or Auxiliary Lanes. It provides lateral support of base and surface courses and is an emergency stopping area for vehicles.,,,,,Shoulder (Environment),S
Shoulder (Standard Specs),Standard Specifications,The part of the Roadway next to the Traveled Way or Auxiliary Lanes. It provides lateral support of base and surface courses and is an emergency stopping area for vehicles.,,,,,Shoulder (Utilities),S
Shoulder (Utilities),Utilities Manual,That portion of a roadway beyond the normal travel width.,,,,,Shoulder (Environment),S
Shoulder (Utilities),Utilities Manual,That portion of a roadway beyond the normal travel width.,,,,,Shoulder (Standard Specs),S
shoulder width,Desgin Manual,"The lateral dimension of the shoulder, measured from the edge of traveled way to the edge of roadway or the face of curb.",,,,,,s
"Shoulder, Usable",Utilities Manual,"That portion of the roadway extending beyond the traveled way or auxiliary lanes that can be used for emergency parking by motorists. Usable shoulder is the average width being used as a shoulder along a section of highway, exclusive of intermittent widened areas, but not to exceed 10 feet in width.",,,,,,S
shrub,Roadside Manual,"A low, woody plant having several stems.",,,,,,s
shy distance,Desgin Manual,The distance from the edge of the traveled way beyond which a roadside object might not be perceived by a typical driver as an immediate feature to be avoided to the extent that the driver will change the vehicle’s placement or speed.,,,,,,s
Sideslope,Utilities Manual,The foreslope or backslope.,,,,,,S
sidewalk,Design Manual: ADA/Pedestrian Supplement,"A walkway along a highway, road, or street intended for use by pedestrians.",,,,,,s
sidewalk,Terminal Design Manual,"A walkway along a highway, road, or street intended for use by pedestrians.",,,,,,s
sidewalk ramp,Terminal Design Manual,,,curb ramp,,,,s
sight distance,Desgin Manual,The length of highway visible to the driver.,,,,,,s
sight distance,Roadside Manual,The length of highway visible to the driver.,,,,,,s
SIgnal Maintenance Management System (SIMMS),Desgin Manual,"A database used for traffic signals, illumination, and Intelligent Transportation Systems (ITS). SIMMS is used to establish an inventory base, enter work reports, print timesheets, and store maintenance records for electrical/electronics systems within WSDOT right of way",,,,,,S
signed shared roadway,Desgin Manual,A shared roadway that has been designated by signing as a route for bicycle use.,,,,,,s
Significance,Environment Manual,"The significance of a potential impact on the natural or built environment depends upon context, setting, likelihood of occurrence, and severity, intensity, magnitude, or duration of the impact. Almost every transportation project that would be recognized as major federal action, no matter how limited in scope, has some adverse impact on the environment.",,,,,,S
Significant Impact,Environment Manual,"Under NEPA (40 CFR 1500-1508) the determination of a significant impact is a function of both context and intensity, including:",,,,,,S
Significant Roadside Activity,Maintenance Manual,"Any activity that will substantially alter the visual appearance of a roadside. Significant activities include, but are not limited to: â€¢ Removal of large stands of vegetation. â€¢ Grading to re-contour slopes or ditches. â€¢ Removal of natural or constructed noise or visual barriers. â€¢ Any activity that alters the visual appearance of more than 1,000 linear feet of roadside. Significant activities do not include ditch and culvert cleaning, herbicide applications, mowing, erosion/slide repairs, grass seeding/fertilizing, highway hardware repair/ installation, litter pick up, and/or emergency activities that are required as a result of a national disaster.",,,,,,S
silt,Roadside Manual,"A mineral soil separate consisting of particles of 0.05 and 0.002 mm in diameter. A soil textural class. Donahue, et al., p. 552",,,,,,s
Silt (Geotech),Geotechnical Design Manual,Soil that will pass through a 0.003 in. (0.075 mm) opening that is nonplastic or very slightly plastic and exhibits little or no strength when air-dried.,,,,,silt (Roadside),S
silt (Roadside),Roadside Manual,"A mineral soil separate consisting of particles of 0.05 and 0.002 mm in diameter. A soil textural class. Donahue, et al., p. 552",,,,,Silt (Geotech),s
silt fence,Highway Runoff Manual,"A temporary sediment barrier consisting of a geotextile fabric stretched across and attached to supporting posts, which are entrenched. Adding rigid wire fence backing can strengthen silt fence.",,,,,,s
simplified acquisition (small purchase),Consultant Services Manual,Small purchase procedures are those relatively simple and informal procurement methods where an adequate number of qualified sources are reviewed and the total contract costs do not exceed the simplified acquisition threshold fixed in 41 USC 403(11).,,,,,,s
single-lane roundabout,Desgin Manual,A roundabout having single-lane entries at all legs and one circulating lane.,,,,,,s
single-occupant vehicle (SOV),Desgin Manual,Any motor vehicle other than a motorcycle carrying one occupant.,,,,,,s
single axle,Permit Desk Guide,An assembly of two or more wheels whose centers are in one transverse vertical plane or may be included between two parallel transverse planes 40 inches apart extending across the full width of the vehicle.,,,,,,s
single unit,Permit Desk Guide,"A motor vehicle with no attached vehicles, i.e., truck, bus, truck tractor.",,,,,,s
site,Design Manual: ADA/Pedestrian Supplement,A parcel of land bounded by a property line or a designated portion of a public right of way.,,,,,site (Design),s
site,Design Manual: ADA/Pedestrian Supplement,A parcel of land bounded by a property line or a designated portion of a public right of way.,,,,,site (Highway Runoff),s
site,Terminal Design Manual,A parcel of land bounded by a property line or a designated portion of a public right of way.,,,,,site (Design),s
site,Terminal Design Manual,A parcel of land bounded by a property line or a designated portion of a public right of way.,,,,,site (Highway Runoff),s
site (Design),Desgin Manual,Parcel(s) of land bounded by a property line or a designated portion of a public right of way.,,,,,site,s
site (Design),Desgin Manual,Parcel(s) of land bounded by a property line or a designated portion of a public right of way.,,,,,site (Highway Runoff),s
site (Highway Runoff),Highway Runoff Manual,"The area within the legal boundaries of a parcel (or parcels) of land that is subject to the development project. For road projects, the site is defined by the length of the project and the right of way boundaries.",,,,,site,s
site (Highway Runoff),Highway Runoff Manual,"The area within the legal boundaries of a parcel (or parcels) of land that is subject to the development project. For road projects, the site is defined by the length of the project and the right of way boundaries.",,,,,site (Design),s
site design,Desgin Manual,Style and configuration of the built environment or parcel(s).,,,,,,s
Six-Year Road or Street Program,Local Agency Guidelines,See  Transportation Improvement Program,,Transportation Improvement Program (TIP) (Local Agency),,,,S
sleeve,Roadside Manual,A pipe containing other irrigation pipe. Also called casing pipe. (See Figure 840.1),,,,,,s
sliding fifth-wheel,Permit Desk Guide,A fifth-wheel assembly capable of being moved forward or backward on the truck tractor to vary load distribution on the tractor and to adjust the overall length of combination.,,,,,,s
slip,Terminal Design Manual,"The berthing area of a single vessel, including the associated mooring and berthing structures.",,,,,,s
slip base,Environment Manual,"Under SEPA, WAC 197-11-330 specifies a process, including criteria and procedures, for determining whether a proposal is likely to have a significant adverse environmental impact.",,,,,,s
slip lane,Desgin Manual,A lane that separates heavy right-turn movements from the roundabout circulating traffic (see Design Manual Chapter 1320),,,,,,s
slip ramp,Desgin Manual,A connection between legs of an intersection that allows right-turning vehicles to bypass the intersection or a connection between an expressway and a parallel frontage road. These are often separated by an island.,,,,,,s
slope,Highway Runoff Manual,"Degree of deviation of a surface from the horizontal, measured as a numerical ratio, percent, or in degrees. Expressed as a ratio, the first number is the horizontal distance (run) and the second is the vertical distance (rise); for example, 2H:1V. A 2H:1V slope is a 50% slope. Expressed in degrees, the slope is the angle from the horizontal plane, so that a 90° slope is vertical (maximum), and a 45° slope is 1H:1V (a 100% slope).",,,,Backslope,,s
slope,Highway Runoff Manual,"Degree of deviation of a surface from the horizontal, measured as a numerical ratio, percent, or in degrees. Expressed as a ratio, the first number is the horizontal distance (run) and the second is the vertical distance (rise); for example, 2H:1V. A 2H:1V slope is a 50% slope. Expressed in degrees, the slope is the angle from the horizontal plane, so that a 90° slope is vertical (maximum), and a 45° slope is 1H:1V (a 100% slope).",,,,Foreslope,,s
slope gradient,Roadside Manual,the angle of the slope as expressed in a percentage.,,,,,,s
slow-moving vehicle turnout,Desgin Manual,"A shoulder area widened to provide room for a slow-moving vehicle to pull out of the through traffic, allow vehicles to pass, and then return to the through lane.",,,,,,s
Small Business Administration (SBA),Consultant Services Manual,The United States Small Business Administration.,,,,,,S
small business concern (Consultant Services),Consultant Services Manual,"With respect to firms seeking to participate as Disadvantaged Business Enterprises in USDOT-assisted contracts, a small business concern is defined pursuant to Section 3 of the Small Business Act (Public Law 85536) and Small Business Administration regulations implementing it (13 CFR 121) that also does not exceed the cap on average annual gross receipts specified in 49 CFR 26.65(b).",,,,,Small Business Concern (Local Agency),s
Small Business Concern (Local Agency),Local Agency Guidelines,A small business as defined according to Section 3 of the Small Business Act and other relevant regulations,,,,,small business concern (Consultant Services),S
Small Purchase Procedures,Local Agency Guidelines,"Procedures to utilize external personal service or equipment rental for routine, continuing, and necessary tasks.",,,,,,S
Small Urban Area,State Management Plan,"An urbanized area with a population of at least 50,000 but less than 200,000",,,,,,S
soil stabilization,Highway Runoff Manual,"The use of measures such as rock lining, vegetation, or other engineering structures to prevent the movement of soil when loads are applied to the soil.",,,,,,s
Taxiway (TW),State-Managed Airport Handbook,A defined path established for the taxiing of aircraft from one part of an airport to another.,,,,,,T
socially and economically disadvantaged individual,Consultant Services Manual,"Any individual who is a citizen (or lawfully admitted permanent resident) of the United States and who is: 1. Any individual who a recipient finds to be a socially and economically disadvantaged individual on a case-by-case basis. 2. Any individual in the following groups, members of which are rebuttably presumed to be socially and economically disadvantaged: a. “Black Americans,” which includes persons having origins in any of the Black racial groups of Africa. b. “Hispanic Americans,” which includes persons of Mexican, Puerto Rican, Cuban, Dominican, Central or South American, or other Spanish or Portuguese culture or origin, regardless of race. c. “Native Americans,” which includes persons who are American Indians, Eskimos, Aleuts, or Native Hawaiians. d. “Asian-Pacific Americans,” which includes persons whose origins are from Japan, China, Taiwan, Korea, Burma (Myanmar), Vietnam, Laos, Cambodia (Kampuchea), Thailand, Malaysia, Indonesia, the Philippines, Brunei, Samoa, Guam, the U.S. Trust Territories of the Pacific Islands (Republic of Palau), the Commonwealth of the Northern Marianas Islands, Macao, Fiji, Tonga, Kirbati, Juvalu, Nauru, Federated States of Micronesia, or Hong Kong. e. “Subcontinent Asian Americans,” which includes persons whose origins are from India, Pakistan, Bangladesh, Bhutan, the Maldives Islands, Nepal, or Sri Lanka. f. Women. g. Any additional groups whose members are designated as socially and economically disadvantaged by the SBA, at such time as the SBA designation becomes effective.",,,,,Socially and Economically Disadvantaged Individuals (Local Agency Guidelines),s
Socially and Economically Disadvantaged Individuals (Local Agency Guidelines),Local Agency Guidelines,"Black Americans, Hispanic Americans, Native Americans, Asian-Pacific Americans, Asian-Indian Americans, and any other minorities or individuals found to be disadvantaged by the Small Business Administration pursuant to Section 8(a) of the Small Business Act. These individuals must be U.S. citizens or lawfully admitted permanent residents.",,,,,socially and economically disadvantaged individual,S
software,Terminal Design Manual,An electronic digital program that contains instructions used to perform certain tasks on a computer or to manage a computer’s operation.,,,,,,s
soil,Highway Runoff Manual,"The unconsolidated mineral and organic matter on the surface of the earth that has been subjected to and influenced by genetic and environmental factors of parent material, climate (including moisture and temperature effects), macro and microorganisms, and topography, all acting over a period of time and producing a product – soil – that differs from the material from which it is derived in many physical, chemical, biological, and morphological properties and characteristics. Donahue, et al., p. 553",,,,,topsoil (Highway Runoff),s
soil,Roadside Manual,"The unconsolidated mineral and organic matter on the surface of the earth that has been subjected to and influenced by genetic and environmental factors of parent material, climate (including moisture and temperature effects), macro and microorganisms, and topography, all acting over a period of time and producing a product – soil – that differs from the material from which it is derived in many physical, chemical, biological, and morphological properties and characteristics. Donahue, et al., p. 553",,,,,topsoil (Highway Runoff),s
soil amendments,Highway Runoff Manual,Materials that improve soil fertility for establishing vegetation or permeability for infiltrating runoff.,,,,,,s
soil bioengineering,Roadside Manual,the use of live plant materials and engineering techniques to reinforce soil and stabilize slopes.,,,,,,s
Soil Conservation Service (SCS),Highway Runoff Manual,"Now the Natural Resources Conservation Service, U.S. Department of Agriculture.",,,,,SCS method,S
soil drainage,Highway Runoff Manual,"As a natural condition of the soil, the frequency and duration of periods when the soil is free of saturation. In well-drained soils, the water is removed readily, but not rapidly; in poorly drained soils, the root zone is waterlogged for long periods unless artificially drained, and the roots of ordinary crop plants cannot get enough oxygen; and in excessively drained soils, the water is removed so completely that most crop plants suffer from lack of water. Strictly speaking, excessively drained soils are a result of excessive runoff due to steep slopes or low available water-holding capacity due to small amounts of silt and clay in the soil material. The following classes are used to express soil drainage: § Well drained – Excess water drains away rapidly; no mottling occurs within 36 inches of the surface. § Moderately well drained – Water is removed from the soil somewhat slowly, resulting in small but significant periods of wetness; mottling occurs between 18 and 36 inches. § Somewhat poorly drained – Water is removed from the soil slowly enough to keep it wet for significant periods but not all the time; mottling occurs between 8 and 18 inches. § Poorly drained – Water is removed so slowly that the soil is wet for a large part of the time; mottling occurs between 0 and 8 inches. § Very poorly drained – Water is removed so slowly that the water table remains at or near the surface for a greater part of the time. There may also be periods of surface ponding. The soil has a black-to-gray surface layer with mottles up to the surface",,,,,,s
soil erosion,Roadside Manual,"The part of the overall process of denudation that includes the physical breakdown, chemical dissolving, and transportation of material by agents such as water, wind, ice, and gravity.  TRB, 1996",,,,,,s
soil horizons,Roadside Manual,"A layer of soil approximately parallel to the land’s surface and differing from adjacent genetically related layers in physical, chemical, and biological properties or characteristics, such as color, structure, texture, consistency, amount of organic matter, and degree of acidity or alkalinity. Donahue, et al., p. 558",,,,,,s
soil organic matter,Roadside Manual,"The organic fraction of the soil that includes plant and animal residues at various stages of decomposition, cells and tissues of soil organisms, and substances synthesized by the soil population. Donahue, et al., p. 561",,,,,,s
soil permeability,Highway Runoff Manual,"The ease with which gases, liquids, or plant roots penetrate or pass through a layer of soil.",,,,,,s
soil structure,Roadside Manual,"The combination or arrangement of primary soil particles into secondary particles or units. The secondary units are characterized and classified on the basis of size, shape, and degree of distinctness into classes, types, and grades respectively. Examples are: platy, prismatic, columnar, blocky, granular, and crumb. Donahue, et al., p. 561",,,,,,s
solar exposure,Roadside Manual,"refers to the exposure of the road surface to the rays of the sun. Solar exposure can be blocked by land forms, structures, and vegetation adjacent to the roadway.",,,,,,s
Sole Source Aquifer (SSA) (Environment),Environment Manual,"An aquifer designated by USEPA that (1) supplies 50 percent or more of the drinking water to the population living over the aquifer, (2) has distinct hydrogeological boundaries, and (3) for which there is no economically feasible alternative source of drinking water if it should become contaminated.",,,,,Sole Source Aquifer (SSA) (Highway Runoff),S
Sole Source Aquifer (SSA) (Highway Runoff),Highway Runoff Manual,"An aquifer or aquifer system that supplies 50% or more of the drinking water for a given service area and for which there are no reasonably available alternative sources should the aquifer become contaminated, and the possibility of contamination exists. The U.S. Environmental Protection Agency designates sole-source aquifers, and Section 1424(e) of the Safe Drinking Water Act is the statutory authority for the Sole-Source Aquifer Protection Program.",,,,,Sole Source Aquifer (SSA) (Environment),S
Solid Waste,Environment Manual,"State regulation WAC 173-350 define solid waste as all putrescible and nonputrescible solid and semisolid wastes including, but not limited to, garbage, rubbish, ashes, industrial wastes, swill, sewage sludge, demolition and construction wastes, abandoned vehicles or parts thereof, problem wastes as defined below, and recyclable materials. Federal regulations define solid waste as any garbage, refuse, or sludge from a wastewater treatment plant, water supply treatment plant, or air pollution control facility, and other discarded material including solid, liquid, semisolid, or contained gaseous material resulting from industrial, commercial, mining, and agricultural operations and from community activities. Solid waste includes hazardous and problem wastes.",,,,,,S
sounding,Terminal Design Manual,A measurement of depth from the water surface to the mudline.,,,,,,s
source control,Highway Runoff Manual,"A structure or operation intended to prevent pollutants from coming into contact with stormwater, either through physical separation of areas or through careful management of activities that are sources of pollutants. § Structural source control BMPs are physical, structural, or mechanical devices or facilities intended to prevent pollutants from entering stormwater. § Operational BMPs are nonstructural practices that prevent or reduce pollutants entering stormwater.",,,,,,s
Source Water Protection Area,Environment Manual,Area protected for drinking water supplies; these include Wellhead Protection Areas and Sanitary Control Areas.,,,,,,S
Special Flood Hazard Area,Environment Manual,"An area with a one percent chance of being flooded in any given year. You may also hear this called 100 year floodplain. FEMA further defines a variety of zones within special flood hazard areas which describe whether the determination is based on approximate or detailed flood studies, and whether formal BFEs have been established.",,,,,,S
Special Provisions,Bridge Inspection Manual,"Special Provisions are supplemental specifications and modifications to the Standard Specifications, including Amendments, which apply to a specific project.",,,,,,S
Special Provisions,Local Agency Guidelines,"Special Provisions are supplemental specifications and modifications to the Standard Specifications, including Amendments, which apply to a specific project.",,,,,,S
Special Provisions,Standard Specifications,"Special Provisions are supplemental specifications and modifications to the Standard Specifications, including Amendments, which apply to a specific project.",,,,,,S
Special Provisions,Summary of Public Transportation,"Special Provisions are supplemental specifications and modifications to the Standard Specifications, including Amendments, which apply to a specific project.",,,,,,S
special provisions (Terminal Design),Terminal Design Manual,Supplemental specifications and modifications to the Standard Specifications and the amendments to the Standard Specifications that apply to an individual project.,,,,,,s
Special Use Airspace,State-Managed Airport Handbook,"All airspace in which restrictions or prohibitions to flight are imposed for military or government needs (see MOA, Restricted Area, Prohibited Area).",,,,Military Operations Area (MOA),,S
Special Use Airspace,State-Managed Airport Handbook,"All airspace in which restrictions or prohibitions to flight are imposed for military or government needs (see MOA, Restricted Area, Prohibited Area).",,,,Prohibited Area,,S
Special Use Airspace,State-Managed Airport Handbook,"All airspace in which restrictions or prohibitions to flight are imposed for military or government needs (see MOA, Restricted Area, Prohibited Area).",,,,Restricted Area,,S
species,Roadside Manual,"Includes any subspecies of fish, wildlife, or plants; any distinct population segment of any species of vertebrate fish or wildlife that interbreeds when mature. Endangered Species Act, 1973",,,,,,s
Specifications,Standard Specifications,Provisions and requirements for the prescribed Work,,,,,,S
stormwater outfall,Highway Runoff Manual,Any location where concentrated stormwater runoff leaves WSDOT right of way. Outfalls may discharge to surface waters or groundwater.,,,,,,s
Specifications for the National Tunnel Inventory (SNTI),Bridge Inspection Manual,"The SNTI is intended to supplement the NTIS and provide the specifications for coding data required to be submitted to the National Tunnel Inventory (NTI). Data in the NTI will be used to meet legislative reporting requirements and provide tunnel owners, the Federal Highway Administration (FHWA) and the general public with information on the number and condition of the Nation’s tunnels.",,,,,,S
speed,Desgin Manual,The operations or target or posted speed of a roadway. There are three classifications of speed established:  • Low speed is considered 35 mph and below.  • Intermediate speed is considered 40-45 mph.  • High speed is considered 50 mph and above,high-speed roadway,,,,,s
speed,Desgin Manual,The operations or target or posted speed of a roadway. There are three classifications of speed established:  • Low speed is considered 35 mph and below.  • Intermediate speed is considered 40-45 mph.  • High speed is considered 50 mph and above,Intermediate speed roadway,,,,,s
speed,Desgin Manual,The operations or target or posted speed of a roadway. There are three classifications of speed established:  • Low speed is considered 35 mph and below.  • Intermediate speed is considered 40-45 mph.  • High speed is considered 50 mph and above,low-speed roadway,,,,,s
speed limit sign beacon,Desgin Manual,A beacon installed with a fixed or variable speed limit sign. The preferred display is two flashing yellow indications.,,,,,,s
speed management,Desgin Manual,An engineered effort to achieve a targeted speed.,,,,,,s
speed transition segment,Desgin Manual,An engineered segment of road intended to lower the operating speed between contexts with different target speeds.,,,,,,s
spill control device,Highway Runoff Manual,"A tee section or down-turned elbow designed to retain a limited volume of a pollutant that floats on water, such as oil or antifreeze. Spill control devices are passive and must be cleaned out in order to remove the spilled pollutant.",,,,,,s
"Spill Prevention, Control, and Countermeasures (SPCC) Plan",Highway Runoff Manual,"A plan prepared by a construction contractor, as required in Standard Specification 1-07.15(1), to prevent sediment and other pollutants associated with construction activity from affecting soil, air, and water quality.",,,,,"Spill Prevention, Control, and Countermeasures (SPCC) Plan (Roadside)",S
"Spill Prevention, Control, and Countermeasures (SPCC) Plan",Highway Runoff Manual,"A plan prepared by a construction contractor, as required in Standard Specification 1-07.15(1), to prevent sediment and other pollutants associated with construction activity from affecting soil, air, and water quality.",,,,,"Spill Prevention, Control, and Countermeasures (SPCC) Plan (Utilities)",S
"Spill Prevention, Control, and Countermeasures (SPCC) Plan",Roadside Manual,"A plan prepared by a construction contractor, as required in Standard Specification 1-07.15(1), to prevent sediment and other pollutants associated with construction activity from affecting soil, air, and water quality.",,,,,"Spill Prevention, Control, and Countermeasures (SPCC) Plan (Roadside)",S
"Spill Prevention, Control, and Countermeasures (SPCC) Plan",Roadside Manual,"A plan prepared by a construction contractor, as required in Standard Specification 1-07.15(1), to prevent sediment and other pollutants associated with construction activity from affecting soil, air, and water quality.",,,,,"Spill Prevention, Control, and Countermeasures (SPCC) Plan (Utilities)",S
